Maszyna	Terminal	Opis
BM017400	647	MM-TOX
BM017464	619	FD-PAKUM
BM017473	597	A-520C/5
BM017519	598	A-370A/4
BM017520	599	A-270A/1
BM017530	130	SP2 Mont
BM017569	111	PP-H
BM017674	640	HERM.20
BM017675	640	HERM.35
BM017760	578	A-270A/2
BM017858	525	A-370A/5
BM017859	550	A-370A/6
BM017952	641	DFMC
BM017991	681	SMKDS2,5
BM018105	611	MI-520/7
BM018110	120	ABB
BM018439	314	BM018439
BM018478	314	ZGRZEWAR
BM018603	649	CLIPFIX2
BM018880	315	BM018880
BM018920	570	FD-CIEC2
BM019098	582	ZFKDS NS
BM019119	810	PTRV
BM019120	684	PTRV-MON
BM019174	657	ETC
BM019182	657	Branson
BM019331	129	PTMC
BM019623	671	prasa
BM019643	639	MI-TOP_M
BM019764	570	FD-ZALEW
BM019938	651	KAM_FAME
BM019970	569	FD-CRIM7
BM020010	569	FD-LFUSE
BM020027	569	FD-CRIM5
BM020091	641	BM020091
BM020191	593	CTX
BM020239	592	HSM400U
BM020381	110	FLEX 1
BM020454	320	SCHL 8
BM020477	322	S500X1
BM020622	569	FD-CRIM6
BM020656	624	A-520A/8
BM020657	626	A-520A/9
BM020658	114	FLEX 2
BM020726	630	A-370A/9
BM020727	629	A-370A10
BM020761	628	A520A/10
BM020762	627	A520A/11
BM020789	660	MMBlokSP
BM020792	631	A520A/12
BM020800	632	BOYE25/1
BM020808	633	A-470 A
BM020816	634	A520A/13
BM020855	109	Hesi_Heb
BM020990	591	MV1200R
BM021066	573	A-370S
BM021092	645	BOYE25/2
BM021110	572	ME-PRW02
BM021113	322	Pakowark
BM021144	827	KameraPT
BM021160	119	PTDA
BM021268	322	LASER HC
BM021279	575	BM021279
BM021286	318	PRAS ZF4
BM021296	318	srubokre
BM021313	319	KE 7
BM021404	648	Blistry
BM021415	657	ASPA
BM021439	314	Werner 2
BM021451	324	TAMPON 4
BM021520	314	STRUNK02
BM021541	698	ME-PRM01
BM021583	659	MI-570/4
BM021616	325	SHD.KE1
BM021619	569	FD-KEPfG
BM021623	527	BOY50 2K
BM021631	325	ARB 13
BM021666	836	BM021666
BM021673	697	ME-GWI02
BM021680	318	PRAS S11
BM021723	314	Werner1
BM021731	317	LASER
BM021744	101	PT2,5-3L
BM021828	320	SCHL 9
BM021829	323	PRAS SC9
BM021889	125	PTFIX15
BM021920	575	FD-LASER
BM021921	613	TampoGr3
BM021922	575	FD-PAK1
BM021923	676	MI-570/5
BM021936	675	A-370A11
BM021943	327	PRAS S10
BM021944	320	SCHL 10
BM021950	315	SCHL 11
BM021970	319	TAMPON 3
BM022000	822	Tampodru
BM022003	677	MI520/16
BM022007	697	ME-GWI03
BM022033	323	Z+F AM03
BM022058	682	E-100.7
BM022093	592	FX4001
BM022094	592	FX4002
BM022095	616	MI-TAM02
BM022096	686	A-370A12
BM022097	687	A-370A13
BM022103	836	BM022103
BM022104	648	TampoGr4
BM022111	321	ARBURG
BM022112	319	ARBURG
BM022114	688	A-370E14
BM022116	689	A-370E15
BM022134	575	FD-TAMPO
BM022148	117	SPTA-THR
BM022169	325	TAMPON 2
BM022172	572	ME-PRW03
BM022176	315	Z+F AM03
BM022188	323	KE
BM022200	810	TampoGr1
BM022240	320	Z+F AM03
BM022246	317	ARBURG
BM022247	693	A-270A/4
BM022259	314	STRUNK03
BM022315	531	A-370E16
BM022316	800	A-470A2
BM022319	801	A-470A3
BM022320	802	A-470A4
BM022321	803	A-470A5
BM022324	315	BM022324
BM022351	530	MI520/17
BM022380	805	A-270S/5
BM022381	806	A370E/17
BM022382	807	A370E/18
BM022438	593	FS420SC
BM022509	591	CUT 2000
BM030230	575	FD-LPPA
BM030238	570	FD-KEADL
BM030482	570	FD-CRIM2
BM030499	570	FD-KETBU
BM030564	570	FD-LICC
BM030662	575	BM030662
BM030894	641	KOPLA
BM032698	570	BM032698
BM032798	569	RJ45CAT6
BM032898	317	WTR MM
BM034761	640	PROGER
BM034818	322	Nitownic
BM035458	641	YUMI
BM036041	326	SCH ST03
BM036119	128	MPT 1,5
BM036198	107	PTS 2,5
BM036926	115	PP-HTwin
BM036959	836	ATX36959
BM036985	822	Tampodru
BM036991	325	KE
BM036992	324	KE
BM037075	322	Kontrola
BM037084	108	SPTAF1
BM037198	325	LASER
BM037215	696	ME-PAI
BM037278	325	WTR MM
BM037313	319	BM037313
BM037317	319	WTR MM
BM037388	697	ME-GWI04
BM037398	105	CF35_3_0
BM037463	329	A-370S
BM037550	822	Laser
BM037556	315	Z+F AM03
BM037764	127	PT_FLEX
BM037837	836	BM037837
BM037857	318	PRAS ZF5
BM037974	697	ME-PRM02
BM037975	697	ME-PRM03
BM037976	697	ME-PRM04
BM038019	817	A-370A20
BM038020	818	A-370A19
BM038021	819	A-370A21
BM038306	573	A-370S/2
BM038443	575	BM038443
BM038544	322	BM038544
BM038726	328	A320C
BM038728	330	D-60
BM038729	331	A270 U
BM038816	697	ME-PRM05
BM038817	572	ME-PRW04
BM038911	590	CUT20002
BM038916	592	MILL500+
BM039016	315	BM039016
BM039082	590	CUT2003
BM039132	590	CMX 600
BM039321	336	A-370S/6
BM039322	335	A-370S/5
BM039323	334	A-370S/4
BM039329	337	A-370S/7
BM039347	338	A-270 S
BM039348	339	A-375V
BM039429	350	MI520/18
BM039431	324	ARBURG
BM2660_2	583	KDS3PMT2
BM900208	318	PRAS SCH
BMD21889	822	PTFIX15
BMD22104	648	DUBEL
EB-KAS01	573	EBzbrKAS
EB-KAS02	573	EBzbrKAS
EB-KAS03	573	EBzbrKAS
EB-KAS04	574	EBzbrKAS
EB-RE001	667	EBmontRE
EB-RE002	667	EBmontRE
EB-RE003	667	EBmontRE
EB-RE004	667	EBmontRE
EB-RE005	667	EBmontRE
EB-RE006	667	EBmontRE
EB-RE007	667	EBmontRE
EB-RE008	667	EBmontRE
EB-RE009	667	EBmontRE
EB-RE010	667	EBmontRE
ME-RE001	696	ME-RE001
ME-RE002	696	ME-RE002
ME-RE003	696	ME-RE003
ME-RE004	696	ME-RE004
MM-AUT01	661	AUT_SRU1
MM-AUT02	661	AUT_SRU2
MM-AUT03	661	AUT_SRU3
MM-AUT04	661	AUT_SRU4
MM-AUT05	661	AUT_SRU5
MM-AUT06	661	AUT_SRU6
MM-AUT07	661	AUT_SRU7
MM-CE001	655	MMmontCE
MM-CE002	655	MMmontCE
MM-CE003	655	MMmontCE
MM-CE004	655	MMmontCE
MM-QPP01	647	MM-QPP
MM-RE001	647	MMmontRE
MM-RE002	647	MMmontRE
MM-RE003	647	MMmontRE
MM-RE004	647	MMmontRE
MM-RE005	647	MMmontRE
MM-RE006	647	MMmontRE
MM-RE007	647	MMmontRE
MM-RE008	647	MMmontRE
MM-RE009	660	MM-RE009
MM-RE010	660	MM-RE010
MM-RE015	647	MMmontRE
MM-RE016	647	MMmontRE
MPP01028	612	MPP01028
MPP01046	655	MM-KOMAX
MPP03038	683	MPP03038
MPP03061	648	MPP03061
MPP05006	683	MPP05006
MPP05101	612	MPP05101
MPP05201	683	MPP05201
MPP05202	597	MPP05202
MPP60031	608	MI-RE001
MPP60032	608	MI-RE002
